epigramme_id,book,fragment,urn,author_fr,text_fr,type
12.37,12,37,urn:cts:greekLit:tlg7000.tlg001.ag:12.37,Dioscoride,"Le cul de Sosarque d'Anphypolyte a modelé tendre comme la moelle en jouant Amour funeste au mortels en voulant provoquer Zeus, parce que ses cuisses sont plus douces que celles de Ganymède.",homo
12.43,12,43,urn:cts:greekLit:tlg7000.tlg001.ag:12.43,Callimaque de Cyrène,"Je hais le puits public, le chemin fréquenté, Le bel ami facile au plaisir trop porté, Et des vers trop connus les sottes ritournelles. Je hais tes tristes dons, à chacun dispensés. Quand je t'ai dans mes bras, je vois dans tes prunelles Le douteux défilé de tes amants passés.",homo
12.48,12,48,urn:cts:greekLit:tlg7000.tlg001.ag:12.48,Méléagre de Gadara,"Je suis à terre ! De ton talon, foule ma nuque, démon sauvage ! Je te connais bien, oui, par les dieux, et je sais de quel poids tu pèses. Je connais aussi tes traits de feu. Mais tes brandons jetés sur mon cœur ne sauraient l’enflammer : déjà il n’est que cendres !",homo
12.49,12,49,urn:cts:greekLit:tlg7000.tlg001.ag:12.49,Méléagre de Gadara,"Bois pur le vin, ô triste amant, et cette flamme que l’amour des garçons allume en ton sein, Bromios l’endormira, lui qui verse l’oubli. Bois pur le vin, remplis et vide le skyphos pour chasser de ton cœur cette morne souffrance.",homo
12.50,12,50,urn:cts:greekLit:tlg7000.tlg001.ag:12.50,Asclépiade de Samos,"Bois, Asclépiade ! Pourquoi ces larmes ? Qu’as-tu donc ? Va, tu n’es pas le seul que la dure Cypris ait capturé, le seul non plus contre qui ait aiguisé flèches et traits le cruel Éros ! Pourquoi, vivant, te coucher dans la poussière ? Buvons pure la liqueur de Bacchus. Il reste un doigt de jour… Ou bien attendrons-nous de voir se rallumer la lampe du coucher ? Nous buvons, pas de temps à perdre ! Il n’y a plus grand temps, malheureux, et ce sera le grand repos de la longue nuit…",homo
12.52,12,52,urn:cts:greekLit:tlg7000.tlg001.ag:12.52,Méléagre de Gadara,"Soufflant à la joie des marins, le Vent du Sud, tristes amants, a pris moitié de mon âme, Andragathos ! Vaisseaux trois fois heureux, trois fois heureux les flots du large et quatre fois aussi le vent qui emporte mon aimé. Que je voudrais être dauphin ! Monté sur mes épaules, il franchirait les mers, jusqu’à ce qu’apparaisse l’île aux délicieux garçons, Rhodes.",homo
5.2,5,2,urn:cts:greekLit:tlg7000.tlg001.ag:5.2,anonyme,"Sthénélaïde, celle qui fait brûler les villes, celle qui se fait payer cher, celle qui crache de l’or d’après ceux qui la désirent, le rêve l’a couchée nue à mes côtés toute la nuit me donnant du plaisir gratuitement jusqu’à l’aurore. Je ne devrai pas la supplier à genoux, cette barbare, ni pleurer sur moi-même, parce que j’ai le Sommeil qui m’accorde ces plaisirs.",hetero
5.4,5,4,urn:cts:greekLit:tlg7000.tlg001.ag:5.4,Philodème de Gadara,"Philénis, après avoir enivré la lampe qui connaît mais garde secrètes les choses qu’on ne peut dire d’une liqueur huileuse, va-t-en : car l’Amour solitaire n’apprécie pas les témoins vivants, et ferme bien la porte, Philénis. Et toi, embrasse-moi, Xantho : quant à toi, ô lit qui aime les aimants, apprends maintenant ce qu’il faut savoir d’Aphrodite.",hetero
5.11,5,11,urn:cts:greekLit:tlg7000.tlg001.ag:5.11,anonyme,"Si tu sauves ceux qui sont en mer, Cypris, moi aussi sur terre je fais naufrage; déesse bienveillante, sauve-moi de la perdition.",hetero
5.17,5,17,urn:cts:greekLit:tlg7000.tlg001.ag:5.17,Gétulicus,"Gardienne du rivage battu des flots, je t’envoie Ces gâteaux et ces présents d’un simple sacrifice. Car demain je traverserai, sur la large mer Ionienne M’empressant vers le sein de mon Idothée ; Brille avec une douce brise sur mon amour et mon mât O Cypris, reine des chambres nuptiales et des rivages.",hetero
5.25,5,25,urn:cts:greekLit:tlg7000.tlg001.ag:5.25,Philodème de Gadara,"Chaque fois que, de jour ou de soir, j'ose aller me jeter dans les bras de Cydilla, c'est, je le sais, sur le bord d'un abîme que je me fraie un chemin; c'est ma tête, je le sais bien, que je joue sur un seul coup de dés. Mais à quoi sert de le savoir? Car on est téméraire et, quand on est à toute heure entraîné par Éros, on ne sait plus du tout, même en rêve, ce que c'est que la peur.",hetero
5.26,5,26,urn:cts:greekLit:tlg7000.tlg001.ag:5.26,anonyme,"Que j'aie vu, ma reine, resplendir sur ta tête une chevelure noire ou bien des boucles blondes, ta grâce est toujours la même, toujours aussi éclatante. Oui, ces cheveux-là, fussent-ils tout blancs, donneront toujours asile à l'Amour.",hetero
5.35,5,35,urn:cts:greekLit:tlg7000.tlg001.ag:5.35,Rufin,"J'ai jugé, à moi seul, un concours de fesses entre trois femmes; c'est elles qui m'avaient choisi comme arbitre, et elles me montrèrent l'éblouissante nudité de leurs corps. Pour la première, on voyait fleurir la blancheur et la douceur de sa croupe creusée de fossettes arrondies. La seconde écarta les jambes, et sa chair neigeuse prenait un ton de plus vermeil qu'une rose de pourpre. La troisième, au contraire, gardait l'immobilité d'une mer tranquille: de lentes ondulations se dessinaient seulement sur sa peau délicate, agitée de frissons involontaires. Si l'arbitre des déesses avait contemplé ces fesses-là, il n'aurait même plus voulu regarder les premières.",hetero
5.38,5,38,urn:cts:greekLit:tlg7000.tlg001.ag:5.38,Nicarque,"Une belle femme, bien grande, voilà ce qui me séduit, soit qu’elle touche à l’âge mûr, soit même, Simylos, qu’elle l’ait dépassé. Une jeune saura me prendre dans ses bras ; mais si c’est une vieille, Simylos, oui, une vieille toute ridée, eh bien ! ce sont d’autres jouissances qu’elle me donnera.",hetero
5.44,5,44,urn:cts:greekLit:tlg7000.tlg001.ag:5.44,Rufin,"Lembion et Kercurion, les deux courtisanes, bloquent sans cesse le port de Samos. Jeunes gens, fuyez en foule ces corsaires d’Aphrodite : quiconque les accostera fera le plongeon et boira un coup.",hetero
5.47,5,47,urn:cts:greekLit:tlg7000.tlg001.ag:5.47,Rufin,"Bien des fois j’ai souhaité, Thaleia, de te prendre, une nuit, pour assouvir l’ardeur de mes désirs furieux. Et maintenant que tu es là, toute nue, que j’ai tout près de moi tes membres délicats, je suis sans force, je succombe à la fatigue et au sommeil. Pauvre courage, qu’es-tu devenu ? Réveille-toi, pas de défaillance : c’est toi qui as cherché cette félicité qui te dépasse.",hetero
5.48,5,48,urn:cts:greekLit:tlg7000.tlg001.ag:5.48,Rufin,"Des yeux d’or, une joue de cristal, une bouche plus charmante qu’un bouton de rose pourpre, un cou de marbre, des seins d’une splendeur éclatante et des pieds plus blancs que ceux de la blanche Thétis : si parmi ses boucles brillent çà et là quelques pâles reflets, ce n’est pas pour quelques fils d’argent que je me détournerai d’elle.",hetero
5.52,5,52,urn:cts:greekLit:tlg7000.tlg001.ag:5.52,Dioscoride,"Nous avions fait à Éros un seul et même serment, et ce serment assurait à Sosipatros le constant amour d’Arsinoé. Mais elle l’a trahi : ses serments étaient vains ; lui, au contraire, a gardé toute l’ardeur de sa tendresse ; ah ! la puissance des dieux ne se montre guère. Puisses-tu, Hyménée, entendre à la porte fermée d’Arsinoé des chants de deuil, qui lui reprochent d’avoir trahi son amant !",hetero
5.53,5,53,urn:cts:greekLit:tlg7000.tlg001.ag:5.53,Dioscoride,"La séduisante Aristonoê m’a blessé au cœur, cher Adonis, quand elle a frappé sa poitrine devant ta chapelle. Si elle veut bien m’accorder, à moi aussi, cette faveur à condition que j’expire, pas d’hésitations : prends-moi comme compagnon de traversée et emmène-moi.",hetero
5.56,5,56,urn:cts:greekLit:tlg7000.tlg001.ag:5.56,Dioscoride,"Ce qui m’affole, ce sont des lèvres de rose, des lèvres babillardes, vestibule d’une bouche de nectar, qui consument mon âme ; ce sont des prunelles qui étincellent sous des sourcils épais, filets et pièges où s’est pris mon cœur ; ce sont de beaux seins blancs comme le lait, désirables, bien accouplés, plus charmants que n’importe quelle fleur. Mais pourquoi montrer des os à des chiens ? Il y a toujours des témoins pour qui ne tient pas sa bouche close : ce sont des roseaux de Midas.",hetero
5.58,5,58,urn:cts:greekLit:tlg7000.tlg001.ag:5.58,Archias,"Éros, petit enfant, tu me maltraites : c’est fort bien ; épuise tous tes traits contre moi, pour n’en plus lancer ensuite ; ainsi je serai seul en butte à tes coupes et, si tu veux frapper quelque autre victime, tu n’auras plus aucune flèche.",hetero
5.61,5,61,urn:cts:greekLit:tlg7000.tlg001.ag:5.61,Rufin,"Je jouais au javelot avec Phillipê aux cils noirs ; et, tout en riant gaiement, du fond du cœur, je m’écriai : « J’ai touché douze fois, et demain je toucherai plus souvent, ou au moins encore douze fois : tu verras mon adresse ! » Puis, à mon appel, elle est revenue ; et je lui ai dit en riant : « Plût aux dieux que dès cette nuit je t’eusse éveillée et rappelée ! »",hetero
